slug,title,difficulty,topics,pattern,leetcode_url
maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,medium,array|greedy|sorting|heap-priority-queue,Intervals,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
non-overlapping-intervals,Non-overlapping Intervals,medium,array|dynamic-programming|greedy|sorting,Intervals,https://leetcode.com/problems/non-overlapping-intervals
find-k-pairs-with-smallest-sums,Find K Pairs with Smallest Sums,medium,array|heap-priority-queue,K-Way Merge,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,medium,array|binary-search|sorting|heap-priority-queue|matrix,K-Way Merge,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
merge-k-sorted-lists,Merge k Sorted Lists,hard,linked-list|divide-and-conquer|heap-priority-queue|merge-sort,K-Way Merge,https://leetcode.com/problems/merge-k-sorted-lists
smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,hard,array|hash-table|greedy|sliding-window|sorting|heap-priority-queue,K-Way Merge,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
design-browser-history,Design Browser History,medium,array|linked-list|stack|design|doubly-linked-list|data-stream,Data Structure Design,https://leetcode.com/problems/design-browser-history
time-based-key-value-store,Time Based Key-Value Store,medium,hash-table|string|binary-search|design,Data Structure Design,https://leetcode.com/problems/time-based-key-value-store
snapshot-array,Snapshot Array,medium,array|hash-table|binary-search|design,Data Structure Design,https://leetcode.com/problems/snapshot-array
design-twitter,Design Twitter,medium,hash-table|linked-list|design|heap-priority-queue,Data Structure Design,https://leetcode.com/problems/design-twitter
lru-cache,LRU Cache,medium,hash-table|linked-list|design|doubly-linked-list,Data Structure Design,https://leetcode.com/problems/lru-cache
insert-delete-getrandom-o1,Insert Delete GetRandom O(1),medium,array|hash-table|math|design|randomized,Data Structure Design,https://leetcode.com/problems/insert-delete-getrandom-o1
design-a-food-rating-system,Design a Food Rating System,medium,array|hash-table|string|design|heap-priority-queue|ordered-set,Data Structure Design,https://leetcode.com/problems/design-a-food-rating-system
maximum-frequency-stack,Maximum Frequency Stack,hard,hash-table|stack|design|ordered-set,Data Structure Design,https://leetcode.com/problems/maximum-frequency-stack
jump-game-ii,Jump Game II,medium,array|dynamic-programming|greedy,Greedy,https://leetcode.com/problems/jump-game-ii
minimum-add-to-make-parentheses-valid,Minimum Add to Make Parentheses Valid,medium,string|stack|greedy,Greedy,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
gas-station,Gas Station,medium,array|greedy,Greedy,https://leetcode.com/problems/gas-station
task-scheduler,Task Scheduler,medium,array|hash-table|greedy|sorting|heap-priority-queue|counting,Greedy,https://leetcode.com/problems/task-scheduler
minimum-cost-to-hire-k-workers,Minimum Cost to Hire K Workers,hard,array|greedy|sorting|heap-priority-queue,Greedy,https://leetcode.com/problems/minimum-cost-to-hire-k-workers
candy,Candy,hard,array|greedy,Greedy,https://leetcode.com/problems/candy
minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,hard,array|dynamic-programming|greedy|heap-priority-queue,Greedy,https://leetcode.com/problems/minimum-number-of-refueling-stops
number-of-islands,Number of Islands,medium,array|depth-first-search|breadth-first-search|union-find|matrix,Depth First Search (DFS),https://leetcode.com/problems/number-of-islands
time-needed-to-inform-all-employees,Time Needed to Inform All Employees,medium,tree|depth-first-search|breadth-first-search,Depth First Search (DFS),https://leetcode.com/problems/time-needed-to-inform-all-employees
all-paths-from-source-to-target,All Paths From Source to Target,medium,backtracking|depth-first-search|breadth-first-search|graph,Depth First Search (DFS),https://leetcode.com/problems/all-paths-from-source-to-target
clone-graph,Clone Graph,medium,hash-table|depth-first-search|breadth-first-search|graph,Depth First Search (DFS),https://leetcode.com/problems/clone-graph
is-graph-bipartite,Is Graph Bipartite?,medium,depth-first-search|breadth-first-search|union-find|graph,Depth First Search (DFS),https://leetcode.com/problems/is-graph-bipartite
all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,medium,hash-table|tree|depth-first-search|breadth-first-search|binary-tree,Depth First Search (DFS),https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
employee-importance,Employee Importance,medium,array|hash-table|tree|depth-first-search|breadth-first-search,Depth First Search (DFS),https://leetcode.com/problems/employee-importance
surrounded-regions,Surrounded Regions,medium,array|depth-first-search|breadth-first-search|union-find|matrix,Depth First Search (DFS),https://leetcode.com/problems/surrounded-regions
pacific-atlantic-water-flow,Pacific Atlantic Water Flow,medium,array|depth-first-search|breadth-first-search|matrix,Depth First Search (DFS),https://leetcode.com/problems/pacific-atlantic-water-flow
making-a-large-island,Making A Large Island,hard,array|depth-first-search|breadth-first-search|union-find|matrix,Depth First Search (DFS),https://leetcode.com/problems/making-a-large-island
rotting-oranges,Rotting Oranges,medium,array|breadth-first-search|matrix,Breadth First Search (BFS),https://leetcode.com/problems/rotting-oranges
01-matrix,01 Matrix,medium,array|dynamic-programming|breadth-first-search|matrix,Breadth First Search (BFS),https://leetcode.com/problems/01-matrix
open-the-lock,Open the Lock,medium,array|hash-table|string|breadth-first-search,Breadth First Search (BFS),https://leetcode.com/problems/open-the-lock
shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,hard,array|breadth-first-search|matrix,Breadth First Search (BFS),https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination
bus-routes,Bus Routes,hard,array|hash-table|breadth-first-search,Breadth First Search (BFS),https://leetcode.com/problems/bus-routes
word-ladder,Word Ladder,hard,hash-table|string|breadth-first-search,Breadth First Search (BFS),https://leetcode.com/problems/word-ladder
course-schedule-ii,Course Schedule II,medium,depth-first-search|breadth-first-search|graph|topological-sort,Topological Sort,https://leetcode.com/problems/course-schedule-ii
find-eventual-safe-states,Find Eventual Safe States,medium,depth-first-search|breadth-first-search|graph|topological-sort,Topological Sort,https://leetcode.com/problems/find-eventual-safe-states
minimum-height-trees,Minimum Height Trees,medium,depth-first-search|breadth-first-search|graph|topological-sort,Topological Sort,https://leetcode.com/problems/minimum-height-trees
sort-items-by-groups-respecting-dependencies,Sort Items by Groups Respecting Dependencies,hard,depth-first-search|breadth-first-search|graph|topological-sort,Topological Sort,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies
number-of-provinces,Number of Provinces,medium,depth-first-search|breadth-first-search|union-find|graph,Union Find,https://leetcode.com/problems/number-of-provinces
redundant-connection,Redundant Connection,medium,depth-first-search|breadth-first-search|union-find|graph,Union Find,https://leetcode.com/problems/redundant-connection
accounts-merge,Accounts Merge,medium,array|hash-table|string|depth-first-search|breadth-first-search|union-find|sorting,Union Find,https://leetcode.com/problems/accounts-merge
minimize-malware-spread,Minimize Malware Spread,hard,array|hash-table|depth-first-search|breadth-first-search|union-find|graph,Union Find,https://leetcode.com/problems/minimize-malware-spread
min-cost-to-connect-all-points,Min Cost to Connect All Points,medium,array|union-find|graph|minimum-spanning-tree,Minimum Spanning Tree,https://leetcode.com/problems/min-cost-to-connect-all-points
network-delay-time,Network Delay Time,medium,depth-first-search|breadth-first-search|graph|heap-priority-queue|shortest-path,Shortest Path,https://leetcode.com/problems/network-delay-time
cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,medium,dynamic-programming|depth-first-search|breadth-first-search|graph|heap-priority-queue|shortest-path,Shortest Path,https://leetcode.com/problems/cheapest-flights-within-k-stops
path-with-maximum-probability,Path with Maximum Probability,medium,array|graph|heap-priority-queue|shortest-path,Shortest Path,https://leetcode.com/problems/path-with-maximum-probability
path-with-minimum-effort,Path With Minimum Effort,medium,array|binary-search|depth-first-search|breadth-first-search|union-find|heap-priority-queue|matrix,Shortest Path,https://leetcode.com/problems/path-with-minimum-effort
swim-in-rising-water,Swim in Rising Water,hard,array|binary-search|depth-first-search|breadth-first-search|union-find|heap-priority-queue|matrix,Shortest Path,https://leetcode.com/problems/swim-in-rising-water
reconstruct-itinerary,Reconstruct Itinerary,hard,array|string|depth-first-search|graph|sorting|heap-priority-queue|eulerian-circuit,Eulerian Circuit,https://leetcode.com/problems/reconstruct-itinerary
cracking-the-safe,Cracking the Safe,hard,string|depth-first-search|graph|eulerian-circuit,Eulerian Circuit,https://leetcode.com/problems/cracking-the-safe
climbing-stairs,Climbing Stairs,easy,math|dynamic-programming|memoization,1-D DP,https://leetcode.com/problems/climbing-stairs
min-cost-climbing-stairs,Min Cost Climbing Stairs,easy,array|dynamic-programming,1-D DP,https://leetcode.com/problems/min-cost-climbing-stairs
house-robber,House Robber,medium,array|dynamic-programming,1-D DP,https://leetcode.com/problems/house-robber
house-robber-ii,House Robber II,medium,array|dynamic-programming,1-D DP,https://leetcode.com/problems/house-robber-ii
partition-equal-subset-sum,Partition Equal Subset Sum,medium,array|dynamic-programming,0/1 Knapsack,https://leetcode.com/problems/partition-equal-subset-sum
target-sum,Target Sum,medium,array|dynamic-programming|backtracking,0/1 Knapsack,https://leetcode.com/problems/target-sum
last-stone-weight-ii,Last Stone Weight II,medium,array|dynamic-programming,0/1 Knapsack,https://leetcode.com/problems/last-stone-weight-ii
coin-change,Coin Change,medium,array|dynamic-programming|breadth-first-search,Unbounded Knapsack,https://leetcode.com/problems/coin-change
coin-change-ii,Coin Change II,medium,array|dynamic-programming,Unbounded Knapsack,https://leetcode.com/problems/coin-change-ii
perfect-squares,Perfect Squares,medium,math|dynamic-programming|breadth-first-search,Unbounded Knapsack,https://leetcode.com/problems/perfect-squares
longest-increasing-subsequence,Longest Increasing Subsequence,medium,array|binary-search|dynamic-programming,Longest Increasing Subsequence (LIS),https://leetcode.com/problems/longest-increasing-subsequence
number-of-longest-increasing-subsequence,Number of Longest Increasing Subsequence,medium,array|dynamic-programming|binary-indexed-tree|segment-tree,Longest Increasing Subsequence (LIS),https://leetcode.com/problems/number-of-longest-increasing-subsequence
russian-doll-envelopes,Russian Doll Envelopes,hard,array|binary-search|dynamic-programming|sorting,Longest Increasing Subsequence (LIS),https://leetcode.com/problems/russian-doll-envelopes
unique-paths-ii,Unique Paths II,medium,array|dynamic-programming|matrix,2D Grid DP,https://leetcode.com/problems/unique-paths-ii
minimum-path-sum,Minimum Path Sum,medium,array|dynamic-programming|matrix,2D Grid DP,https://leetcode.com/problems/minimum-path-sum
triangle,Triangle,medium,array|dynamic-programming,2D Grid DP,https://leetcode.com/problems/triangle
count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,medium,array|dynamic-programming|matrix,2D Grid DP,https://leetcode.com/problems/count-square-submatrices-with-all-ones
maximum-number-of-points-with-cost,Maximum Number of Points with Cost,medium,array|dynamic-programming|matrix,2D Grid DP,https://leetcode.com/problems/maximum-number-of-points-with-cost
maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,hard,array|binary-search|dynamic-programming|sorting,2D Grid DP,https://leetcode.com/problems/maximum-profit-in-job-scheduling
burst-balloons,Burst Balloons,hard,array|dynamic-programming,2D Grid DP,https://leetcode.com/problems/burst-balloons
cherry-pickup,Cherry Pickup,hard,array|dynamic-programming|matrix,2D Grid DP,https://leetcode.com/problems/cherry-pickup
longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,hard,array|dynamic-programming|depth-first-search|breadth-first-search|graph|topological-sort|memoization|matrix,2D Grid DP,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
longest-common-subsequence,Longest Common Subsequence,medium,string|dynamic-programming,String DP,https://leetcode.com/problems/longest-common-subsequence
longest-palindromic-subsequence,Longest Palindromic Subsequence,medium,string|dynamic-programming,String DP,https://leetcode.com/problems/longest-palindromic-subsequence
edit-distance,Edit Distance,medium,string|dynamic-programming,String DP,https://leetcode.com/problems/edit-distance
decode-ways,Decode Ways,medium,string|dynamic-programming,String DP,https://leetcode.com/problems/decode-ways
word-break,Word Break,medium,array|hash-table|string|dynamic-programming|trie|memoization,String DP,https://leetcode.com/problems/word-break
interleaving-string,Interleaving String,medium,string|dynamic-programming,String DP,https://leetcode.com/problems/interleaving-string
wildcard-matching,Wildcard Matching,hard,string|dynamic-programming|greedy|recursion,String DP,https://leetcode.com/problems/wildcard-matching
distinct-subsequences,Distinct Subsequences,hard,string|dynamic-programming,String DP,https://leetcode.com/problems/distinct-subsequences
palindrome-partitioning-ii,Palindrome Partitioning II,hard,string|dynamic-programming,String DP,https://leetcode.com/problems/palindrome-partitioning-ii
house-robber-iii,House Robber III,medium,dynamic-programming|tree|depth-first-search|binary-tree,Tree / Graph DP,https://leetcode.com/problems/house-robber-iii
unique-binary-search-trees-ii,Unique Binary Search Trees II,medium,dynamic-programming|backtracking|tree|binary-search-tree|binary-tree,Tree / Graph DP,https://leetcode.com/problems/unique-binary-search-trees-ii
number-of-ways-to-arrive-at-destination,Number of Ways to Arrive at Destination,medium,dynamic-programming|graph|topological-sort|shortest-path,Tree / Graph DP,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination
binary-tree-cameras,Binary Tree Cameras,hard,dynamic-programming|tree|depth-first-search|binary-tree,Tree / Graph DP,https://leetcode.com/problems/binary-tree-cameras
sum-of-distances-in-tree,Sum of Distances in Tree,hard,dynamic-programming|tree|depth-first-search|graph,Tree / Graph DP,https://leetcode.com/problems/sum-of-distances-in-tree
minimum-number-of-work-sessions-to-finish-the-tasks,Minimum Number of Work Sessions to Finish the Tasks,medium,array|dynamic-programming|backtracking|bit-manipulation|bitmask,Bitmask DP,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks
fair-distribution-of-cookies,Fair Distribution of Cookies,medium,array|dynamic-programming|backtracking|bit-manipulation|bitmask,Bitmask DP,https://leetcode.com/problems/fair-distribution-of-cookies
shortest-path-visiting-all-nodes,Shortest Path Visiting All Nodes,hard,dynamic-programming|bit-manipulation|breadth-first-search|graph|bitmask,Bitmask DP,https://leetcode.com/problems/shortest-path-visiting-all-nodes
count-numbers-with-unique-digits,Count Numbers with Unique Digits,medium,math|dynamic-programming|backtracking,Digit DP,https://leetcode.com/problems/count-numbers-with-unique-digits
number-of-digit-one,Number of Digit One,hard,math|dynamic-programming|recursion,Digit DP,https://leetcode.com/problems/number-of-digit-one
numbers-at-most-n-given-digit-set,Numbers At Most N Given Digit Set,hard,array|math|string|binary-search|dynamic-programming,Digit DP,https://leetcode.com/problems/numbers-at-most-n-given-digit-set
knight-probability-in-chessboard,Knight Probability in Chessboard,medium,dynamic-programming,Probability DP,https://leetcode.com/problems/knight-probability-in-chessboard
soup-servings,Soup Servings,medium,math|dynamic-programming|probability-and-statistics,Probability DP,https://leetcode.com/problems/soup-servings
new-21-game,New 21 Game,medium,math|dynamic-programming|sliding-window|probability-and-statistics,Probability DP,https://leetcode.com/problems/new-21-game
best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,medium,array|dynamic-programming,State Machine DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,hard,array|dynamic-programming,State Machine DP,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
palindrome-number,Palindrome Number,easy,math,Maths / Geometry,https://leetcode.com/problems/palindrome-number
reverse-integer,Reverse Integer,medium,math,Maths / Geometry,https://leetcode.com/problems/reverse-integer
factorial-trailing-zeroes,Factorial Trailing Zeroes,medium,math,Maths / Geometry,https://leetcode.com/problems/factorial-trailing-zeroes
valid-square,Valid Square,medium,math|geometry,Maths / Geometry,https://leetcode.com/problems/valid-square
minimum-area-rectangle-ii,Minimum Area Rectangle II,medium,array|hash-table|math|geometry,Maths / Geometry,https://leetcode.com/problems/minimum-area-rectangle-ii
max-points-on-a-line,Max Points on a Line,hard,array|hash-table|math|geometry,Maths / Geometry,https://leetcode.com/problems/max-points-on-a-line
repeated-string-match,Repeated String Match,medium,string|string-matching,String Matching,https://leetcode.com/problems/repeated-string-match
shortest-palindrome,Shortest Palindrome,hard,string|rolling-hash|string-matching|hash-function,String Matching,https://leetcode.com/problems/shortest-palindrome
longest-duplicate-substring,Longest Duplicate Substring,hard,string|binary-search|sliding-window|rolling-hash|suffix-array|hash-function,String Matching,https://leetcode.com/problems/longest-duplicate-substring
range-sum-query-mutable,Range Sum Query - Mutable,medium,array|divide-and-conquer|design|binary-indexed-tree|segment-tree,Binary Indexed Tree / Segment Tree,https://leetcode.com/problems/range-sum-query-mutable
count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,hard,array|binary-search|divide-and-conquer|binary-indexed-tree|segment-tree|merge-sort|ordered-set,Binary Indexed Tree / Segment Tree,https://leetcode.com/problems/count-of-smaller-numbers-after-self
minimum-interval-to-include-each-query,Minimum Interval to Include Each Query,hard,array|binary-search|line-sweep|sorting|heap-priority-queue,Line Sweep,https://leetcode.com/problems/minimum-interval-to-include-each-query
the-skyline-problem,The Skyline Problem,hard,array|divide-and-conquer|binary-indexed-tree|segment-tree|line-sweep|sorting|heap-priority-queue|ordered-set,Line Sweep,https://leetcode.com/problems/the-skyline-problem
